year,industry,employee,regular_pay,irregular_pay,avg_working_hour
94,電子零組件製造業,479659,36614,10557,186.8
94,電腦、電子產品及光學製品製造業,205940,37362,9039,184.7
94,電力設備製造業,120001,30806,7279,185.3
94,機械設備製造業,177733,31046,8667,190.2
94,汽車及其零件製造業,76438,37066,13810,188.6
94,其他運輸工具及其零件製造業,60774,33346,8605,189.9
94,家具製造業,29199,26314,3032,180.6
94,其他製造業,75803,30257,6450,181.8
94,產業用機械設備維修及安裝業,28548,32306,7393,187.0
95,服務業部門,3394504,37047,7303,176.6
95,製造業,2510435,33620,8773,187.3
95,批發及零售業,1486835,33842,5538,175.3
95,運輸及倉儲業,260834,39185,9153,179.9
95,住宿及餐飲業,238302,23209,1751,173.6
95,資訊及通訊傳播業,167593,48740,12394,167.5
95,金融及保險業,366666,52022,17032,168.6
95,不動產業,76624,33324,4989,182.6
95,專業、科學及技術服務業,183787,42600,9140,174.9
95,支援服務業,226532,29582,3040,191.9
95,醫療保健服務業,249091,46342,9087,175.3
95,藝術、娛樂及休閒服務業,50175,28503,2800,186.3
95,其他服務業,88065,27089,3114,201.2
95,食品製造業,86390,30809,5885,189.1
95,飲料及菸草製造業,14597,40877,13361,178.1
95,紡織業,118836,29444,6838,197.3
95,成衣及服飾品製造業,51395,27368,4656,179.9
95,皮革、毛皮及其製品製造業,33948,29666,5589,194.6
95,木竹製品製造業,19268,27460,3808,186.1
95,紙漿、紙及紙製品製造業,50764,29123,7138,193.0
95,印刷及資料儲存媒體複製業,61711,30301,6415,193.2
95,石油及煤製品製造業,12875,62430,29211,178.3
95,化學材料製造業,59834,45291,20921,183.2
95,化學製品製造業,44876,36756,9958,179.4
95,藥品及醫用化學製品製造業,20097,32846,7839,179.4
95,橡膠製品製造業,33468,30412,6202,195.1
95,塑膠製品製造業,143984,30545,5288,186.1
95,非金屬礦物製品製造業,70399,31235,7407,193.0
95,基本金屬製造業,93580,37284,19746,194.6
95,金屬製品製造業,300269,29301,6310,192.8
95,電子零組件製造業,511466,37662,10047,186.1
95,電腦、電子產品及光學製品製造業,210862,38379,9390,180.4
95,電力設備製造業,117040,30735,7025,184.0
95,機械設備製造業,186059,31279,8591,190.1
95,汽車及其零件製造業,77803,36952,12996,178.5
95,其他運輸工具及其零件製造業,60074,34154,7901,185.2
95,家具製造業,28787,25705,4179,178.7
95,其他製造業,72876,30563,5731,180.4
95,產業用機械設備維修及安裝業,29177,32943,7480,187.1
96,服務業部門,3500574,37737,7592,175.8
96,製造業,2541296,34067,9111,187.4
96,批發及零售業,1493442,34337,5126,174.8
96,運輸及倉儲業,263221,39358,9722,179.4
96,住宿及餐飲業,255788,23574,1902,172.5
96,資訊及通訊傳播業,166451,49130,14601,168.2
96,金融及保險業,371166,55827,20001,167.1
96,不動產業,82613,33187,4671,178.0
96,專業、科學及技術服務業,194259,43041,10223,175.3
96,支援服務業,270641,29995,3132,188.7
96,醫療保健服務業,261265,47345,9268,175.1
96,藝術、娛樂及休閒服務業,54978,28838,2576,184.7
96,其他服務業,86750,27162,2763,201.5
96,食品製造業,88098,30706,5692,188.4
96,飲料及菸草製造業,14093,42129,13776,177.4
96,紡織業,113719,29903,6463,197.7
96,成衣及服飾品製造業,50045,27723,4333,179.0
96,皮革、毛皮及其製品製造業,33075,30105,4801,188.8
96,木竹製品製造業,18620,28054,3252,187.9
96,紙漿、紙及紙製品製造業,50384,29645,6481,191.1
96,印刷及資料儲存媒體複製業,62504,30559,5822,192.9
96,石油及煤製品製造業,12567,61739,31410,180.1
96,化學材料製造業,59075,46079,19657,184.2
96,化學製品製造業,44529,38434,11406,178.2
96,藥品及醫用化學製品製造業,20644,32906,7132,173.5
96,橡膠製品製造業,34002,30789,7229,196.4
96,塑膠製品製造業,143339,30876,5791,188.4
96,非金屬礦物製品製造業,70190,31185,7758,193.2
96,基本金屬製造業,96716,37512,22703,193.5
96,金屬製品製造業,307236,29274,6370,190.8
96,電子零組件製造業,528227,38361,10995,185.6
96,電腦、電子產品及光學製品製造業,214369,39793,9717,179.5
96,電力設備製造業,114744,31083,7705,183.6
96,機械設備製造業,196825,31298,8531,192.6
96,汽車及其零件製造業,76928,36225,10469,184.6
96,其他運輸工具及其零件製造業,61019,34751,9072,189.8
96,家具製造業,27466,25838,4179,179.5
96,其他製造業,71521,30832,6156,179.3
96,產業用機械設備維修及安裝業,31361,33545,7791,190.3
97,服務業部門,3587099,37750,7576,176.4
97,製造業,2557171,34125,8996,184.7
97,批發及零售業,1502408,34735,5221,175.9
97,運輸及倉儲業,260849,39971,9569,179.1
97,住宿及餐飲業,274912,24338,2361,172.3
97,資訊及通訊傳播業,171071,49416,14361,169.4
97,金融及保險業,374256,52240,19288,167.5
97,不動產業,85939,34849,5475,180.3
97,專業、科學及技術服務業,203679,44523,10019,176.2
97,支援服務業,300295,29844,3133,188.2
97,醫療保健服務業,272931,48019,10115,174.4
97,藝術、娛樂及休閒服務業,55417,29601,2329,181.4
97,其他服務業,85342,27303,2011,199.9
97,食品製造業,88573,30977,6269,187.5
97,飲料及菸草製造業,14109,42909,16366,178.5
97,紡織業,108777,29855,5628,192.0
97,成衣及服飾品製造業,49023,27908,4174,178.9
97,皮革、毛皮及其製品製造業,30165,30303,4880,185.2
97,木竹製品製造業,18476,28016,3598,186.5
97,紙漿、紙及紙製品製造業,48148,29931,6033,186.5
97,印刷及資料儲存媒體複製業,63139,30154,5350,193.1
97,石油及煤製品製造業,11916,61935,30001,181.3
97,化學材料製造業,58502,46540,20719,185.1
97,化學製品製造業,45838,39865,11191,176.8
97,藥品及醫用化學製品製造業,20956,33014,7768,173.7
97,橡膠製品製造業,33964,30148,6164,189.3
97,塑膠製品製造業,139314,30523,5751,187.6
97,非金屬礦物製品製造業,68342,30844,7658,189.0
97,基本金屬製造業,98811,37828,20654,189.6
97,金屬製品製造業,309043,29008,6227,189.2
97,電子零組件製造業,549550,38313,11603,181.9
97,電腦、電子產品及光學製品製造業,211755,40464,9230,176.5
97,電力設備製造業,116847,30844,6763,181.7
97,機械設備製造業,202495,31094,8516,188.3
97,汽車及其零件製造業,74749,35337,9054,178.2
97,其他運輸工具及其零件製造業,62849,35549,8842,190.9
97,家具製造業,25391,26284,3276,178.4
97,其他製造業,72087,30898,5442,179.7
97,產業用機械設備維修及安裝業,34352,33791,7609,187.4
98,服務業部門,3592850,37306,6617,175.3
98,製造業,2394806,32480,6645,179.1
98,批發及零售業,1447493,34575,5506,175.9
98,運輸及倉儲業,253483,39467,8368,180.4
98,住宿及餐飲業,282876,24521,2585,169.6
98,資訊及通訊傳播業,170999,49213,12675,169.0
98,金融及保險業,359448,52555,15169,168.1
98,不動產業,84120,35077,3603,181.8
98,專業、科學及技術服務業,206750,44336,5647,173.8
98,支援服務業,295661,28882,2696,188.0
98,教育服務業,71489,21331,866,140.9
98,醫療保健服務業,283629,48380,9477,173.7
98,藝術、娛樂及休閒服務業,54437,29216,2026,184.1
98,其他服務業,82465,27272,2466,195.1
98,食品製造業,91619,30767,4623,184.0
98,飲料及菸草製造業,14310,42447,12291,178.4
98,紡織業,103061,29398,5639,188.2
98,成衣及服飾品製造業,46637,26888,3334,176.9
98,皮革、毛皮及其製品製造業,28383,29404,4565,182.9
98,木竹製品製造業,16479,25770,3279,176.6
98,紙漿、紙及紙製品製造業,47348,27892,3872,187.0
98,印刷及資料儲存媒體複製業,60488,29071,4716,189.4
98,石油及煤製品製造業,11375,62612,21374,182.9
98,化學材料製造業,57552,44882,12171,185.0
98,化學製品製造業,44561,38641,7424,173.0
98,藥品及醫用化學製品製造業,22915,32597,8403,173.0
98,橡膠製品製造業,31199,29146,4659,182.4
98,塑膠製品製造業,132616,29498,5195,185.7
98,非金屬礦物製品製造業,64917,29599,5978,183.6
98,基本金屬製造業,94536,36168,11969,182.4
98,金屬製品製造業,286875,27575,4176,177.9
98,電子零組件製造業,497165,35220,9201,180.3
98,電腦、電子產品及光學製品製造業,192822,38885,6940,172.7
98,電力設備製造業,113224,29112,5203,177.8
98,機械設備製造業,178099,29077,5274,169.6
98,汽車及其零件製造業,68401,34369,7666,177.5
98,其他運輸工具及其零件製造業,61676,35491,6253,175.9
98,家具製造業,24752,27054,2218,174.4
98,其他製造業,70131,29677,4287,174.4
98,產業用機械設備維修及安裝業,33665,33478,5888,175.2
99,服務業部門,3700806,37815,7841,176.4
99,製造業,2494374,33273,9027,189.0
99,批發及零售業,1484219,35195,6571,176.2
99,運輸及倉儲業,256732,39453,9449,181.7
99,住宿及餐飲業,300502,24936,2852,171.6
99,資訊及通訊傳播業,173928,49729,14537,170.0
99,金融及保險業,356228,54622,19620,168.8
99,不動產業,92444,35439,5579,180.5
99,專業、科學及技術服務業,217884,44824,8171,175.0
99,支援服務業,314740,28880,3438,192.7
99,教育服務業,71428,21295,1164,139.1
99,醫療保健服務業,291154,49078,8819,175.0
99,藝術、娛樂及休閒服務業,57698,29925,2762,181.1
99,其他服務業,83849,27524,3308,195.9
99,食品製造業,96018,30809,5281,188.8
99,飲料及菸草製造業,14470,42463,12912,174.4
99,紡織業,103403,29984,5376,197.2
99,成衣及服飾品製造業,45362,27276,3936,179.5
99,皮革、毛皮及其製品製造業,29246,29884,5616,187.3
99,木竹製品製造業,16620,26394,4010,187.4
99,紙漿、紙及紙製品製造業,48715,28624,6047,195.1
99,印刷及資料儲存媒體複製業,60527,29444,5871,199.4
99,石油及煤製品製造業,11661,61327,29529,190.4
99,化學材料製造業,57810,45362,20915,187.4
99,化學製品製造業,46385,39500,10721,176.5
99,藥品及醫用化學製品製造業,23579,33129,11690,175.2
99,橡膠製品製造業,32452,29825,7298,196.5
99,塑膠製品製造業,134004,29867,6110,188.1
99,非金屬礦物製品製造業,68331,29816,7267,193.0
99,基本金屬製造業,98019,38275,18888,197.2
99,金屬製品製造業,297824,28378,5636,191.9
99,電子零組件製造業,533259,36619,12548,190.3
99,電腦、電子產品及光學製品製造業,201537,39762,9284,184.2
99,電力設備製造業,121338,29436,7033,185.7
99,機械設備製造業,188452,29934,7668,190.8
99,汽車及其零件製造業,72788,34121,9164,186.4
99,其他運輸工具及其零件製造業,60984,35855,8289,185.9
99,家具製造業,24901,27097,2788,180.7
99,其他製造業,71728,30363,5623,178.6
99,產業用機械設備維修及安裝業,34961,33040,8414,177.3
100,服務業部門,3828886,38378,8555,174.4
100,製造業,2593287,33724,9592,185.1
100,批發及零售業,1530130,35758,6804,174.0
100,運輸及倉儲業,264487,40193,9993,179.4
100,住宿及餐飲業,322845,25663,4052,169.0
100,資訊及通訊傳播業,180625,50842,15449,168.0
100,金融及保險業,362432,55024,21927,165.9
100,不動產業,103225,34523,7435,179.4
100,專業、科學及技術服務業,231738,45774,9548,173.0
100,支援服務業,322849,29420,3589,192.7
100,教育服務業,72488,21223,1193,135.1
100,醫療保健服務業,296816,50100,9800,173.9
100,藝術、娛樂及休閒服務業,56701,30388,2848,182.0
100,其他服務業,84550,28251,4275,196.8
100,食品製造業,101943,30916,5372,185.4
100,飲料及菸草製造業,14402,42527,15245,176.0
100,紡織業,106568,30258,5877,194.9
100,成衣及服飾品製造業,44693,27375,4587,177.4
100,皮革、毛皮及其製品製造業,29181,30701,5589,180.1
100,木竹製品製造業,16212,27154,4841,184.8
100,紙漿、紙及紙製品製造業,49368,29384,7755,191.2
100,印刷及資料儲存媒體複製業,61594,29464,6901,197.5
100,石油及煤製品製造業,11556,61401,32225,188.4
100,化學材料製造業,59119,46695,20646,182.5
100,化學製品製造業,48154,40291,9110,174.4
100,藥品及醫用化學製品製造業,24130,33089,10431,175.0
100,橡膠製品製造業,34157,29511,6731,193.4
100,塑膠製品製造業,133486,30320,6793,186.2
100,非金屬礦物製品製造業,71863,30785,6958,191.4
100,基本金屬製造業,101792,38153,20983,191.3
100,金屬製品製造業,306285,29083,5733,188.9
100,電子零組件製造業,563401,37019,12652,183.3
100,電腦、電子產品及光學製品製造業,214739,40186,10262,178.6
100,電力設備製造業,123233,29722,6686,180.7
100,機械設備製造業,199867,30168,9089,188.3
100,汽車及其零件製造業,77911,33973,11764,184.7
100,其他運輸工具及其零件製造業,63133,36034,9748,186.4
100,家具製造業,24780,27692,3363,180.7
100,其他製造業,73461,31219,6571,177.6
100,產業用機械設備維修及安裝業,38259,33874,8980,177.3
101,服務業部門,3919456,38840,8010,174.7
101,製造業,2619490,34235,9454,183.9
101,批發及零售業,1571791,35941,5881,173.3
101,運輸及倉儲業,267178,40345,9851,181.2
101,住宿及餐飲業,345950,26604,3503,171.2
101,資訊及通訊傳播業,183935,51987,15021,168.6
101,金融及保險業,364344,55419,22570,167.5
